상병코드,상병명,상병명(영문)
H1008,기타 점액화농성 결막염,0
H1008,기타 점액화농성 결막염,0
A00       ,콜레라,Cholera
A000      ,고전적 콜레라,Classical cholera
A000      ,비브리오 콜레라 01 콜레라형균에 의한 콜레라,Cholera due to Vibrio cholerae 01/ biovar cholerae
A001      ,비브리오 콜레라 01 엘토르형균에 의한 콜레라,Cholera due to Vibrio cholerae 01/ biovar eltor
A001      ,엘토르 콜레라,Cholera eltor
A009      ,상세불명의 콜레라,Cholera/ unspecified
A01       ,장티푸스 및 파라티푸스,Typhoid and paratyphoid fevers
A010      ,장티푸스,Typhoid fever
A010      ,장티푸스균에 의한 감염,Infection due to Salmonella typhi
A011      ,파라티푸스 A,Paratyphoid fever A
A012      ,파라티푸스 B,Paratyphoid fever B
A013      ,파라티푸스 C,Paratyphoid fever C
A014      ,상세불명의 파라티푸스,Paratyphoid fever/ unspecified
A014      ,파라티푸스균에 의한 감염 NOS,Infection due to Salmonella paratyphi NOS
A02       ,기타 살모넬라감염,Other salmonella infections
A02       ,살모넬라 티피와 살모넬라 파라티피 이외의 살모넬라종에 의하여 생긴 감염 또는 식중독,Infection or foodborne intoxication due to any Salmonella species other than S. Typhi and S. Paratyphi
A020      ,살모넬라장염,Salmonella enteritis
A020      ,살모넬라증,Salmonellosis
A021      ,살모넬라패혈증,Salmonella sepsis
A022      ,국소적 살모넬라감염,Localized salmonella infections
A022      ,살모넬라 골수염(M90.2*),Salmonella osteomyelitis(M90.2*)
A022      ,살모넬라 관절염(M01.3*),Salmonella arthritis(M01.3*)
A022      ,살모넬라 수막염(G01*),Salmonella meningitis(G01*)
A022      ,살모넬라 신세뇨관-간질병(N16.0*),Salmonella renal tubulo-interstitial disease(N16.0*)
A022      ,살모넬라 폐렴(J17.0*),Salmonella pneumonia(J17.0*)
A028      ,기타 명시된 살모넬라감염,Other specified salmonella infections
A029      ,상세불명의 살모넬라감염,Salmonella infection/ unspecified
A03       ,시겔라증,Shigellosis
A030      ,이질이질균에 의한 시겔라증,Shigellosis due to Shigella dysenteriae
A030      ,A군 시겔라증[시가-크루세 이질],Group A shigellosis [Shiga-Kruse dysentery]
A031      ,플렉스네리이질균에 의한 시겔라증,Shigellosis due to Shigella flexneri
A031      ,B군시겔라증,Group B shigellosis
A032      ,보이디이질균에 의한 시겔라증,Shigellosis due to Shigella boydii
A032      ,C군 시겔라증,Group C shigellosis
A033      ,소네이이질균에 의한 시겔라증,Shigellosis due to Shigella sonnei
A033      ,D군 시겔라증,Group D shigellosis
A038      ,기타 시겔라증,Other shigellosis
A039      ,상세불명의 시겔라증,Shigellosis/ unspecified
A039      ,세균이질 NOS,Bacillary dysentery NOS
A04       ,기타 세균성 장감염,Other bacterial intestinal infections
A040      ,장병원성 대장균감염,Enteropathogenic Escherichia coli infection
A041      ,장독소생산 대장균감염,Enterotoxigenic Escherichia coli infection
A042      ,장침투성 대장균감염,Enteroinvasive Escherichia coli infection
A043      ,장출혈성 대장균감염,Enterohaemorrhagic Escherichia coli infection
A044      ,기타 장대장균감염,Other intestinal Escherichia coli infection
A044      ,대장균장염 NOS,Escherichia coli enteritis NOS
A045      ,캄필로박터장염,Campylobacter enteritis
A046      ,예르시니아 엔테로콜리티카에 의한 장염,Enteritis due to Yersinia enterocolitica
A047      ,거짓막성 결장염,Pseudomembranous colitis
A047      ,클로스트리듐 디피실리에 의한 식중독,Foodborne intoxication by Clostridium difficile
A047      ,클로스트리듐 디피실리에 의한 장결장염,Enterocolitis due to Clostridium difficile
A048      ,기타 명시된 세균성 장감염,Other specified bacterial intestinal infections
A049      ,상세불명의 세균성 장감염,Bacterial intestinal infection/ unspecified
A049      ,세균성 장염 NOS,Bacterial enteritis NOS
A05       ,달리 분류되지 않은 기타 세균성 음식매개중독,Other bacterial foodborne intoxications/ NEC
A050      ,음식매개포도구균중독,Foodborne staphylococcal intoxication
A051      ,보틀리눔중독,Botulism
A051      ,클로스트리듐 보툴리눔에 의한 고전적 식중독,Classical foodborne intoxication due to Clostridium botulinum
A052      ,괴사성 장염,Enteritis necroticans
A052      ,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A053      ,장염비브리오균에 의한 식중독,Foodborne Vibrio parahaemolyticus intoxication
A054      ,바실루스 세레우스에 의한 식중독,Foodborne Bacillus cereus intoxication
A058      ,기타 명시된 세균성 식중독,Other specified bacterial foodborne intoxications
A059      ,상세불명의 세균성 식중독,Bacterial foodborne intoxication/ unspecified
A06       ,아메바증,Amoebiasis
A06       ,이질아메바에 의한 감염,Infection due to Entamoeba histolytica
A060      ,급성 아메바이질,Acute amoebic dysentery
A060      ,급성 아메바증,Acute amoebiasis
A060      ,장아메바증 NOS,Intestinal amoebiasis NOS
A061      ,만성 장아메바증,Chronic intestinal amoebiasis
A062      ,아메바성 비이질성 결장염,Amoebic nondysenteric colitis
A063      ,아메바종 NOS,Amoeboma NOS
A063      ,장의 아메바종,Amoeboma of intestine
A064      ,간아메바증(K77.0*),Hepatic amoebiasis(K77.0*)
A064      ,아메바성 간농양(K77.0*),Amoebic liver abscess(K77.0*)
A065      ,아메바성 폐농양(J99.8*),Amoebic lung abscess(J99.8*)
A065      ,폐(및 간)의 아메바성 농양(J99.8*),Amoebic abscess of lung (and liver)(J99.8*)
A066      ,뇌(및 간/ 및 폐)의 아메바성 농양(G07*),Amoebic abscess of brain(and liver/ and lung)(G07*)
A066      ,아메바성 뇌농양(G07*),Amoebic brain abscess(G07*)
A067      ,피부아메바증,Cutaneous amoebiasis
A068      ,기타 부위의 아메바성 감염,Amoebic infection of other sites
